2023-11-01 at 17:53:03 | INFO | Verificando headers
2023-11-01 at 17:53:04 | INFO | Enviando requisição POST
2023-11-01 at 17:53:04 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:53:04 | INFO | Verificando headers
2023-11-01 at 17:53:06 | INFO | Enviando requisição POST
2023-11-01 at 17:53:06 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:53:06 | INFO | Verificando headers
2023-11-01 at 17:53:07 | INFO | Enviando requisição POST
2023-11-01 at 17:53:07 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:53:07 | INFO | Verificando headers
2023-11-01 at 17:53:08 | INFO | Enviando requisição POST
2023-11-01 at 17:53:08 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:53:08 | INFO | Verificando headers
2023-11-01 at 17:53:10 | INFO | Enviando requisição POST
2023-11-01 at 17:53:10 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:53:10 | INFO | Verificando headers
2023-11-01 at 17:53:11 | INFO | Enviando requisição POST
2023-11-01 at 17:53:11 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:53:11 | INFO | Verificando headers
2023-11-01 at 17:53:13 | INFO | Enviando requisição POST
2023-11-01 at 17:53:13 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:53:13 | INFO | Verificando headers
2023-11-01 at 17:53:14 | INFO | Enviando requisição POST
2023-11-01 at 17:53:14 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:53:14 | INFO | Verificando headers
2023-11-01 at 17:53:15 | INFO | Enviando requisição POST
2023-11-01 at 17:53:15 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:53:15 | INFO | Verificando headers
2023-11-01 at 17:53:17 | INFO | Enviando requisição POST
2023-11-01 at 17:53:17 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:53:17 | INFO | Verificando headers
2023-11-01 at 17:53:18 | INFO | Enviando requisição POST
2023-11-01 at 17:53:18 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:53:18 | INFO | Verificando headers
2023-11-01 at 17:53:19 | INFO | Enviando requisição POST
2023-11-01 at 17:53:19 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:53:19 | INFO | Verificando headers
2023-11-01 at 17:53:21 | INFO | Enviando requisição POST
2023-11-01 at 17:53:21 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:53:21 | INFO | Verificando headers
2023-11-01 at 17:53:22 | INFO | Enviando requisição POST
2023-11-01 at 17:53:22 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:53:22 | INFO | Verificando headers
2023-11-01 at 17:53:23 | INFO | Enviando requisição POST
2023-11-01 at 17:53:23 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:53:23 | INFO | Verificando headers
2023-11-01 at 17:53:24 | INFO | Enviando requisição POST
2023-11-01 at 17:53:24 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:53:24 | INFO | Verificando headers
